!!SBtab SBtabVersion='0.9.1' TableType='Definition' TableName='Allowed_types'
!ComponentName	!ComponentType	!Parent	!Format	!Description	!Example
ID	Column	Reaction	string	Reaction shortname
Name	Column	Reaction	string	Entity name
Type	Column	Reaction	string	Biochemical type of entity
IsReversible	Column	Reaction	Boolean	Reaction should be treated as irreversible
ReactionFormula	Column	Reaction	string	Reaction formula
Modifier	Column	Reaction	string	Modifier of this reaction
KineticLaw	Column	Reaction	string	Kinetic law of the reaction
ID	Column	Compound	string	Compound shortname
Name	Column	Compound	string	Entity name
Type	Column	Compound	string	Biochemical type of entity
Symbol	Column	Compound	string	Short symbol (e.g. gene symbol)
InitialValue	Column	Compound	float	Initial amount or concentration
Unit	Column	Compound	string	Unit for initial value
Location	Column	Compound	string	Compartment for localised entities
IsConstant	Column	Compound	Boolean	Substance with fixed concentrations
ID	Column	Compartment	string	Compartment shortname
Name	Column	Compartment	string	Entity name
Type	Column	Compartment	string	Biochemical type of entity
OuterCompartment	Column	Compartment	string	Surrounding compartment (short)
Size	Column	Compartment	float	Compartment size
Unit	Column	Compartment	string	Physical unit
